id,pb,pb_location,bp_mob,bp_lvl,bp_location,type,slot,line,ql,itemid
438,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Support,Ocular,Surviving,150,236067
439,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Support,Ocular,Growing,200,236070
440,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Support,Ocular,Living,210,236071
441,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Support,Brain,Enduring,190,236084
442,Srahir,"Penumbra Hollows","Shadows and Hiathlins",180,"South Shadow Camps",Support,Brain,Living,210,236085
443,Tcheser,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,"Right Arm",Lulled,60,236339
444,Tcheser,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,Chest,Sluggish,40,236355
445,Tcheser,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Artillery,"Right Hand",Sluggish,40,235550
446,Tcheser,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,Ear,Sluggish,40,236319
447,Tcheser,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,"Right Arm",Sluggish,40,236338
448,"The Abysmal Lord","Adonis Abyss","TripTrapTrub Named Spiders",160,"The Depression or 1100x1500",Infantry,"Left Wrist",Residing,130,235756
449,"The Abyssal Widow","Adonis Abyss","TinyTripTrapTrup Named Spiders",165,"Abyss SW",Infantry,Waist,Awakened,180,235740
450,"The Achbile Guardian",Elysium,"Croaker & Minx",120,"Just South from Ergo",Infantry,"Left Wrist",Breathing,100,235755
451,"The Adonian Soul Dredge","Adonis Ark 1","Soul Dredges",165,"Dead Ends Ancient Device Ark 1",Infantry,"Right Wrist",Residing,130,235722
452,"The Adonian Soul Dredge","Adonis Ark 1","Soul Dredges",165,"Dead Ends Ancient Device Ark 1",Artillery,Thigh,Enduring,190,235571
453,"The Adonis Spirit Master","Adonis North",Spirits/Souls/Dredges,165,"Sacellum & Sea of Adonis & Ark1",Artillery,"Left Hand",Prevailing,120,235587
454,"The Adonis Spirit Master","Adonis North",Spirits/Souls/Dredges,165,"Sacellum & Sea of Adonis & Ark1",Infantry,Waist,Residing,130,235738
455,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Artillery,"Left Wrist",Breathing,100,235535
456,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Infantry,"Left Arm",Vibrating,90,235705
457,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Control,Thigh,Vibrating,90,236463
458,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Control,Thigh,Residing,130,236464
459,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Control,Thigh,Running,140,236465
460,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Control,"Left Hand",Vibrating,90,236480
461,"The Archbile Queen",Elysium,"Croaker & Minx",120,"Just South from Ergo",Control,"Left Hand",Breathing,100,236481
462,"The Brobdingnagian Mother","Penumbra Forest","Resolute Dryad",185,"East of Blue Mist",Infantry,"Left Wrist",Surviving,150,235757
463,"The Dredge Driver","Adonis City","Spirit Soul Dredge",165,"The Suburbs/The Dig",Artillery,Thigh,Living,210,235573
464,"The Dredge Driver","Adonis City","Spirit Soul Dredge",165,"The Suburbs/The Dig",Infantry,"Right Wrist",Living,210,235724
465,"The Dryad Demigod","Inferno Frontier","Apprentice Beasthandler/Scrupulous Hiathlin/Punctilious Hiathlin/Tyro Beasthandler",220,"East from QL 255 Incarnator",Infantry,Chest,Vital,260,235694
466,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Artillery,Chest,Awakened,180,235469
467,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Extermination,"Left Hand",Enduring,190,236034
468,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Extermination,"Right Hand",Vigorous,230,236003
469,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Artillery,Feet,Growing,200,235609
470,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Extermination,Feet,Enduring,190,236051
471,"The Dryad Shuffle","Penumbra Forest","Named Dryads & Hollows",185,"Blue Mist - from S to N",Extermination,"Left Hand",Growing,200,236035
472,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,Ocular,Operative,110,235841
473,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Artillery,Brain,Operative,110,235412
474,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Artillery,"Right Hand",Moving,80,235552
475,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,"Left Arm",Vibrating,90,235925
476,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,Chest,Operative,110,235908
477,"The Dune Suzerain","Elysium Northwest","Coiling Eremite and Others (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Infantry,Feet,Operative,110,235823
478,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Extermination,Thigh,Animated,70,236011
479,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Extermination,Thigh,Moving,80,236012
480,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Extermination,Thigh,Breathing,100,236014
481,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Extermination,"Left Hand",Animated,70,236029
482,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Artillery,"Right Arm",Animated,70,235448
483,"The Elysian Soul Dredge","East Elysium","Spirit Soul Dredge",90,"Linger Echo",Artillery,Thigh,Operative,110,235569
484,"The Enrapt One",Elysium,"Mortiig bosses",120,"SW Elysium",Artillery,"Right Hand",Breathing,100,235553
485,"The Enrapt One",Elysium,"Mortiig bosses",120,"SW Elysium",Infantry,"Left Arm",Running,140,235708
486,"The Indomitable Chimera",Inferno,"Chimera Mornitor/Trainer/Driver",220,"Burning Marshes - Misty Marshes Statue",Infantry,"Right Wrist",Excited,250,235725
487,"The Infernal Soul Dredge",Inferno,"Named Spirits",220,???,Infantry,Waist,Vigorous,230,235743
488,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Infantry,"Right Hand",Excited,250,235778
489,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Infantry,"Right Hand",Vital,260,235779
490,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Infantry,Thigh,Excited,250,235795
491,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Infantry,Thigh,Vital,260,235796
492,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Artillery,Brain,Persisting,220,235418
493,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Artillery,"Right Wrist",Excited,250,235507
494,"The Maggot Lord","Penumbra Forest","Named Eremites",205,"N of Blue Mist - South of The Pipe",Infantry,Feet,Effective,240,235829
495,"The Numb One",Elysium,"Mortiig bosses",120,"Elysium (SW ?)",Artillery,"Left Wrist",Surviving,150,235537
496,"The Numb One",Elysium,"Mortiig bosses",120,"Elysium (SW ?)",Infantry,"Left Arm",Operative,110,235707
497,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Artillery,"Left Hand",Living,210,235590
498,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Extermination,Ear,Living,210,235879
499,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Extermination,"Right Arm",Growing,200,235895
500,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Extermination,Chest,Awakened,180,235912
501,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Extermination,Chest,Growing,200,235913
502,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Extermination,"Left Arm",Awakened,180,235930
503,"The Penumbral Spirit Hunter","Penumbra Valley","Vamoosing/Skedaddling Spirit",165,"Spirit Ruins",Artillery,Ear,Awakened,180,235437
504,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Artillery,"Left Wrist",Enduring,190,235538
505,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Infantry,"Right Arm",Living,210,235675
506,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Left Wrist",Living,210,236430
507,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Right Hand",Growing,200,236452
508,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Right Hand",Working,160,236449
509,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Right Hand",Active,170,236450
510,"The Peristaltic Abomination","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Right Hand",Awakened,180,236451
511,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Artillery,Waist,Living,210,235523
512,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Infantry,"Right Arm",Awakened,180,235674
513,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,Waist,Awakened,180,236414
514,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,Waist,Enduring,190,236415
515,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,Waist,Growing,200,236416
516,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Left Wrist",Enduring,190,236429
517,"The Peristaltic Aversion","Adonis Abyss","Eremites and Named",172,Worlmhole,Control,"Left Wrist",Living,210,236430
518,"The Proprietrix","Adonis City","Soul Dredges",165,"The Suburbs/The Dig",Artillery,"Left Hand",Residing,130,235588
519,"The Proprietrix","Adonis City","Soul Dredges",165,"The Suburbs/The Dig",Infantry,Waist,Active,170,235739
520,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Artillery,Waist,Surviving,150,235519
521,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Infantry,Chest,Running,140,235688
522,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Control,Waist,Surviving,150,236413
523,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Control,"Left Wrist",Prevailing,120,236426
524,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Control,"Left Wrist",Vibrating,90,236425
525,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Control,"Left Wrist",Residing,130,236427
526,"The Scheolian Soul Dredge","Scheol Lower","Spirits/Spirit Hunters",125,"Necropolis (Ergo)",Control,Waist,Running,140,236412
527,"The Stupendous Breeder","Penumbra Forest","Named Dryads & Hollows",185,"East Frozen Lakes from S to N",Infantry,"Left Wrist",Working,160,235758
528,"The Talus Suzerain","Elysium Northwest","Coiling Eremite and Named (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,"Right Wrist",Animated,70,235943
529,"The Talus Suzerain","Elysium Northwest","Coiling Eremite and Named (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,"Right Wrist",Moving,80,235944
530,"The Talus Suzerain","Elysium Northwest","Coiling Eremite and Named (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Extermination,"Right Wrist",Vibrating,90,235945
531,"The Talus Suzerain","Elysium Northwest","Coiling Eremite and Named (310x1260)",90,"The Brink - Tinker Tower - Shell Beach",Artillery,Ear,Breathing,100,235431
532,"The Watchdog","Adonis North",Spirits/Souls,165,"Sacellum & Sea of Adonis",Artillery,Thigh,Growing,200,235572
533,"The Watchdog","Adonis North",Spirits/Souls,165,"Sacellum & Sea of Adonis",Infantry,"Right Wrist",Surviving,150,235723
534,"The Worm King","Penumbra Forest","Death Wing & Named Slithers",202,"Muktuk Area SW from NW Red Temple",Extermination,"Right Arm",Effective,240,235896
535,"The Worm King","Penumbra Forest","Death Wing & Named Slithers",202,"Muktuk Area SW from NW Red Temple",Extermination,Chest,Excited,250,235915
536,"The Worm King","Penumbra Forest","Death Wing & Named Slithers",202,"Muktuk Area SW from NW Red Temple",Artillery,Chest,Excited,250,235472
537,"The Worm King","Penumbra Forest","Death Wing & Named Slithers",202,"Muktuk Area SW from NW Red Temple",Artillery,Thigh,Excited,250,235575
538,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Artillery,"Right Wrist",Residing,130,235501
539,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Control,Brain,Running,140,236307
540,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Control,Brain,Working,160,236308
541,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Control,Brain,Active,170,236309
542,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Artillery,"Right Wrist",Running,140,235502
543,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Infantry,"Right Arm",Prevailing,120,235670
544,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Control,Brain,Operative,110,236306
545,"Thunderous Chimera","Scheol Upper",Chimera,125,"Marble Orchards, East Passage",Control,Ear,Operative,110,236321
546,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Artillery,"Right Wrist",Vigorous,230,235505
547,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Support,"Left Wrist",Persisting,220,236216
548,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Support,Feet,Effective,240,236280
549,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Control,Ocular,Persisting,220,236295
550,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Infantry,"Right Arm",Persisting,220,235676
551,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Support,"Left Hand",Persisting,220,236267
552,Toss,"Adonis West Brink","Named Golems",195,"Hollow Maze",Control,Ocular,Effective,240,236296
553,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Artillery,"Left Arm",Breathing,100,235485
554,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Right Hand",Vibrating,90,236225
555,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Right Hand",Breathing,100,236226
556,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Right Hand",Operative,110,236227
557,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Right Hand",Residing,130,236228
558,Tough,"Scheol Lower","Rigid Solid Robust Girders",125,"The Approach (South of Necropolis)",Support,"Right Hand",Running,140,236229
559,Ungulera,"East Elysium","Named Hiathlin",90,"Fission Fissure",Extermination,"Right Hand",Moving,80,235993
560,Ungulera,"East Elysium","Named Hiathlin",90,"Fission Fissure",Artillery,Ear,Operative,110,235432
561,Ungulera,"East Elysium","Named Hiathlin",90,"Fission Fissure",Artillery,Thigh,Moving,80,235568
562,Ungulera,"East Elysium","Named Hiathlin",90,"Fission Fissure",Extermination,Waist,Vibrating,90,235959
563,Ungulera,"East Elysium","Named Hiathlin",90,"Fission Fissure",Extermination,"Left Wrist",Vibrating,90,235975
564,Upenpet,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,"Left Arm",Sluggish,40,236371
565,Upenpet,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,"Right Hand",Sluggish,40,236443
566,Upenpet,Nascense,"Croaker Boss all around",48,"Around Two Mountains",Control,Waist,Sluggish,40,236407
567,Ushqa,Inferno,"Maychwaham, Ushamaham",220,"Oasis, south from Inferno Frontier",Infantry,Ocular,Excited,250,235628
568,Ushqa,Inferno,"Maychwaham, Ushamaham",220,"Oasis, south from Inferno Frontier",Control,Ear,Vital,260,236329
569,Ushqa,Inferno,"Maychwaham, Ushamaham",220,"Oasis, south from Inferno Frontier",Control,Chest,Excited,250,236363
570,Ushqa,Inferno,"Maychwaham, Ushamaham",220,"Oasis, south from Inferno Frontier",Control,"Right Arm",Vital,260,236347
571,"Viscious Visitant","Adonis SW",Spirits,165,"The Suburbs",Artillery,Thigh,Surviving,150,235570
572,"Viscious Visitant","Adonis SW",Spirits,165,"The Suburbs",Infantry,"Right Wrist",Prevailing,120,235721
573,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Artillery,"Right Wrist",Breathing,100,235500
574,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Infantry,"Right Arm",Vibrating,90,235668
575,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Support,"Left Hand",Prevailing,120,236261
576,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Support,"Left Hand",Running,140,236262
577,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Support,"Left Hand",Surviving,150,236263
578,"Wacky Suzerain","Scheol Upper","Named Eremites: Coiling, Sparkling, Bending...",125,"NW from West Incarnator",Support,Feet,Breathing,100,236275
579,White,"Elysium South","Chill Spider & 2 Named Bosses",120,"White Pass (The Scoop)",Infantry,"Left Arm",Operative,110,235707
580,White,"Elysium South","Chill Spider & 2 Named Bosses",120,"White Pass (The Scoop)",Control,"Left Hand",Residing,130,236483
581,White,"Elysium South","Chill Spider & 2 Named Bosses",120,"White Pass (The Scoop)",Control,Feet,Residing,130,236498
582,White,"Elysium South","Chill Spider & 2 Named Bosses",120,"White Pass (The Scoop)",Control,Feet,Prevailing,120,236497
583,White,"Elysium South","Chill Spider & 2 Named Bosses",120,"White Pass (The Scoop)",Infantry,"Left Arm",Breathing,100,235706
584,"Xark the Battletoad","Penumbra Forest","Death Wing, Slithers, Maar...",255,"South from Purity",Artillery,"Left Wrist",Alert,280,235542
585,"Xark the Battletoad","Penumbra Forest","Death Wing, Slithers, Maar...",255,"South from Purity",Support,Waist,Alert,280,236199
586,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Artillery,Chest,Awakened,180,235469
587,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Artillery,Chest,Growing,200,235471
588,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Infantry,Ocular,Growing,200,235624
589,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Support,Brain,Persisting,220,236086
590,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Support,Brain,Vigorous,230,236087
591,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Support,Ear,Awakened,180,236104
592,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Support,Ear,Growing,200,236105
593,"Zoetic Oak","Penumbra Forest","Stubby Stalker and Named",180,"SW Glacier Hill - SW Statue",Support,Ear,Persisting,220,236106
594,Shullat,"Inferno Frontier","Tinos, Astypalia, Phatmos",255,"Clan Sanctuary Exit: Razor's Lair",Control,Ocular,Alert,280,236298
595,Shullat,"Inferno Frontier","Tinos, Astypalia, Phatmos",255,"Clan Sanctuary Exit: Razor's Lair",Support,Feet,Alert,280,236282
596,"Taille Frees","Inferno Frontier","Aniitap's Shadow/Aniitap(250)/Wicked Shadow",220,"Path to the Redeemed Temple - Aniitap Spot",Infantry,Ear,Excited,250,235660
597,"Taille Frees","Inferno Frontier","Aniitap's Shadow/Aniitap(250)/Wicked Shadow",220,"Path to the Redeemed Temple - Aniitap Spot",Control,"Left Wrist",Excited,250,236434
598,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Support,Brain,Excited,250,236088
599,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Support,"Right Arm",Vital,260,236121
600,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Artillery,Thigh,Cognizant,270,235576
601,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Support,Ocular,Excited,250,236072
602,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Support,Ocular,Vital,260,236073
603,Waqa,"Inferno Yuttos Marshes","Natsmaahpt, Sanatsimk",220,"South of Xark's Lair - North from Yuttos",Support,Brain,Vital,260,236089
604,"Arch Bigot Biap","Inferno Dark Hill","Obsolete Soul Dredge",220,"North from Incarnator 255",Infantry,"Left Arm",Cognizant,270,235712
605,"Asase Ya","Inferno Burning Marshes","Asase's Drudge, Nyame's Abettor, Asase's Child",255,"SW limits of Inferno by Sorrow South",Support,Brain,Alert,280,236090
606,"Canceroid Cupid","Nascence Wilds","Named Cripplers",40,"Steppe of Dispair",Extermination,"Right Arm",Sleeping,30,235889
607,"Canceroid Cupid","Nascence Wilds","Named Cripplers",40,"Steppe of Dispair",Extermination,"Right Wrist",Sluggish,40,235941
608,Sasabonsam,"Inferno Frontier","Anansi's Disciple",220,"Dark Hills - SE from 255 incarnator",Infantry,Ear,Cognizant,270,235661
609,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Artillery,Brain,Breathing,100,235411
610,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Infantry,Feet,Moving,80,235821
611,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Artillery,"Left Arm",Moving,80,235483
612,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Extermination,Ocular,Animated,70,235840
613,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Extermination,Brain,Animated,70,235854
614,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Extermination,Brain,Vibrating,90,235855
615,Circumbendibum,Elysium,"Named Dryads",80,Southmire,Infantry,Feet,Vibrating,90,235822
616,"Agent of Decay","Inferno Frontier","Eremites East from Hebiel & Ahomac",255,"Near 225 Incarnator (Eremites)",Extermination,Ocular,Alert,280,235847
617,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Artillery,Ocular,Beta,300,278893
618,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Control,Ocular,Beta,300,279010
619,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Extermination,Ocular,Beta,300,279023
620,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Infantry,Ocular,Beta,300,279036
621,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Support,Ocular,Beta,300,279049
622,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Artillery,Brain,Beta,300,278892
623,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Control,Brain,Beta,300,279009
624,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Extermination,Brain,Beta,300,279022
625,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Infantry,Brain,Beta,300,279035
626,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Support,Brain,Beta,300,279048
627,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Artillery,Ear,Beta,300,278894
628,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Control,Ear,Beta,300,279011
629,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Extermination,Ear,Beta,300,279024
630,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Infantry,Ear,Beta,300,279037
631,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Support,Ear,Beta,300,279050
632,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Artillery,"Left Arm",Beta,300,278896
633,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Control,"Left Arm",Beta,300,279013
634,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Extermination,"Left Arm",Beta,300,279026
635,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Infantry,"Left Arm",Beta,300,279039
636,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Support,"Left Arm",Beta,300,279052
637,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Artillery,Chest,Beta,300,278895
638,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Control,Chest,Beta,300,279012
639,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Extermination,Chest,Beta,300,279025
640,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Infantry,Chest,Beta,300,279038
641,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Support,Chest,Beta,300,279051
642,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Artillery,"Right Arm",Beta,300,278899
643,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Control,"Right Arm",Beta,300,279016
644,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Extermination,"Right Arm",Beta,300,279029
645,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Infantry,"Right Arm",Beta,300,279042
646,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Support,"Right Arm",Beta,300,279055
647,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Artillery,"Left Wrist",Beta,300,278898
648,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Control,"Left Wrist",Beta,300,279015
649,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Extermination,"Left Wrist",Beta,300,279028
650,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Infantry,"Left Wrist",Beta,300,279041
651,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Support,"Left Wrist",Beta,300,279054
